"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Romanian Deadlift (Dumbbell)",,"",2,"normal",123.46,12,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Lunge (Barbell)",,"",0,"normal",45,10,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Lunge (Barbell)",,"",1,"normal",45,10,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Lunge (Barbell)",,"",2,"normal",45,10,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Bent Over Row (Dumbbell)",,"",0,"normal",61.73,8,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Bent Over Row (Dumbbell)",,"",1,"normal",61.73,6,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Bent Over Row (Dumbbell)",,"",2,"normal",61.73,3,,,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Plank",,"",0,"normal",,,,45,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Plank",,"",1,"normal",,,,45,
"Pull Day Copy","11 May 2026, 12:59","11 May 2026, 14:05","","Plank",,"",2,"normal",,,,45,
"Push Day!","6 May 2026, 12:39","6 May 2026, 13:42","","Squat (Barbell)",,"",0,"normal",205.01,8,,,
"Push Day!","6 May 2026, 12:39","6 May 2026, 13:42","","Squat (Barbell)",,"",1,"normal",205.01,8,,,
"Push Day!","6 May 2026, 12:39","6 May 2026, 13:42","","Squat (Barbell)",,"",2,"failure",205.01,6,,,
"Push Day!","6 May 2026, 12:39","6 May 2026, 13:42","","Bench Press (Barbell)",,"",0,"normal",114.99,8,,,
"Push Day!","6 May 2026, 12:39","6 May 2026, 13:42","","Bench Press (Barbell)",,"",1,"normal",114.99,8,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Deadlift (Barbell)",,"",0,"normal",242.51,8,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Deadlift (Barbell)",,"",1,"normal",242.51,8,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Deadlift (Barbell)",,"",2,"normal",242.51,8,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Overhead Press (Barbell)",,"",0,"normal",66.14,10,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Overhead Press (Barbell)",,"",1,"normal",79.37,8,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Overhead Press (Barbell)",,"",2,"failure",79.37,7,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Lat Pulldown (Cable)",,"",0,"normal",50,12,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Lat Pulldown (Cable)",,"",1,"normal",50,11,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Lat Pulldown (Cable)",,"",2,"failure",50,6,,,
"Pull Day","4 May 2026, 12:40","4 May 2026, 16:33","","Plank",,"",0,"normal",,,,60,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Deadlift (Barbell)",,"",0,"normal",230.01,8,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Deadlift (Barbell)",,"",1,"normal",230.01,8,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Deadlift (Barbell)",,"",2,"normal",230.01,8,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Overhead Press (Barbell)",,"",0,"normal",64.99,10,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Overhead Press (Barbell)",,"",1,"normal",64.99,10,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Overhead Press (Barbell)",,"",2,"normal",64.99,10,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Pull Up (Assisted)",,"",0,"normal",47.51,5,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Pull Up (Assisted)",,"",1,"normal",47.51,5,,,
"Pull Day","29 Apr 2026, 12:38","29 Apr 2026, 14:54","","Pull Up (Assisted)",,"",2,"normal",47.51,5,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Squat (Barbell)",,"",0,"normal",180.01,8,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Squat (Barbell)",,"",1,"normal",220,8,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Squat (Barbell)",,"",2,"normal",220,8,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Squat (Barbell)",,"",3,"normal",220,7,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Bench Press (Barbell)",,"",0,"normal",133,8,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Bench Press (Barbell)",,"",1,"failure",133,6,,,
"Push Day!","9 Apr 2026, 10:52","9 Apr 2026, 11:39","","Bench Press (Barbell)",,"",2,"normal",133,6,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Deadlift (Barbell)",,"",0,"normal",230.01,12,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Deadlift (Barbell)",,"",1,"normal",230.01,12,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Deadlift (Barbell)",,"",2,"normal",230.01,12,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Overhead Press (Barbell)",,"",0,"normal",77.01,8,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Overhead Press (Barbell)",,"",1,"normal",77.01,8,,,
"Pull Day","7 Apr 2026, 11:26","7 Apr 2026, 12:00","","Overhead Press (Barbell)",,"",2,"normal",77.01,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Deadlift (Barbell)",,"",0,"normal",265,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Deadlift (Barbell)",,"",1,"normal",265,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Deadlift (Barbell)",,"",2,"normal",265,7,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Overhead Press (Barbell)",,"",0,"normal",80.01,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Overhead Press (Barbell)",,"",1,"normal",80.01,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Overhead Press (Barbell)",,"",2,"normal",80.01,8,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Cross Body Crunch",,"",0,"normal",,18,,,
"Pull Day","1 Apr 2026, 12:39","1 Apr 2026, 13:50","","Cross Body Crunch",,"",1,"normal",,18,,,
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Squat (Barbell)",,"",0,"normal",214.99,8,,,
"Push Day!","30 Mar 2026, 13:17","30 Mar 2026, 14:03","","Squat (Barbell)",,"",1,"normal",214.99,8,,,
